epoch,train_loss,val_task_loss,kd_logit_loss,val_kd_logit_loss,train_total,val_total,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio
1,0.7093729351276017,0.6269651923196315,0.7031674261875832,0.6036498426525791,71.02611555388593,60.99194945757755,0.33900049776729263,1.038886678803655,15.456959059529987,2.984168635018877,12.322849501992906
2,0.6383275901345965,0.5813291810326283,0.6222766911865794,0.533162480965684,62.86599670879253,53.89757727760102,0.3899618685772016,1.1277270137213473,18.427077941974837,3.6941558266745007,14.660290144640106
3,0.554878892160258,0.5113429149035672,0.5228735415113408,0.45430251458312604,52.84223304329434,45.94159437321617,0.48517119442857926,1.0032043874146128,24.4516845239494,5.238761152823959,18.274009630031095
4,0.5260070273456068,0.4694109530958637,0.48623573158262184,0.42345559775639596,49.14958018560779,42.81497072873546,0.4968175197646961,1.1007779299622158,19.995430072922023,4.2241826312948,16.818687373578037
5,0.49703575888091633,0.45380259950107094,0.45325344848875093,0.39743154069496045,45.82238060775601,40.19695666899712,0.5001053350251105,1.0346901715554773,19.078361682498052,3.870266778286485,15.072205619426207
6,0.4723909568564322,0.464321836896537,0.42018873046945543,0.39130511557344055,42.49126400380197,39.594833394240595,0.5256253284824043,1.002325851522277,16.974373520448612,2.9507131138045133,14.364960237392848
7,0.45182649579449813,0.4509066090712351,0.39529541611062297,0.3749155308422517,39.9813681068568,37.942459693296406,0.5358248220473008,0.9746620950999865,20.110903303058205,4.171011085026333,15.170146529306095
8,0.44998932577677025,0.4686501310658428,0.3914253050314765,0.3799140505686088,39.59251982892442,38.46005518792672,0.5195418364220641,1.0980114747525656,18.419160482712524,3.6008151456931454,13.565999798066308
9,0.43267144920041833,0.45452312930159927,0.3702280067599766,0.37110799248460624,37.45547212519808,37.56532237776222,0.5334828269300408,1.0438407831859553,15.779283001812923,2.5205677363601784,12.145873878777017
10,0.4229063143317869,0.4605418588083755,0.35855458947040486,0.3832445925429194,36.27836526137228,38.78500111310032,0.5304670382448116,1.0183983119867124,18.514234389049626,3.2284912790874816,13.462918049359267
11,0.4145404750978209,0.44700815469066696,0.3474645775587849,0.3519695662400911,35.16099823097631,35.643964778699775,0.539214931195525,1.038260670687771,16.032738754034426,2.6101750911768615,12.33506317656083
12,0.4090346424383892,0.4693266700318461,0.34030132081400366,0.36554126675927573,34.43916672383876,37.02345334595942,0.5398185610726939,1.05264206321007,15.188847495231741,2.48378644354592,11.691604950075522
13,0.3959241809569391,0.483001896213278,0.3219636472510521,0.36630070231540196,32.59228890606215,37.113072127753476,0.5451897531201678,1.045437567950945,19.626408511061403,3.7101264969328125,14.25264421087618
14,0.3880277725709717,0.44947541220755954,0.31370691665362954,0.34692420930014073,31.758719437933927,35.141896342221635,0.5489161684457201,0.9846976411266827,17.046999915575938,3.199112221167385,12.868978827988835
15,0.3873859047769119,0.5000879999029676,0.3131492967400822,0.37916435161760415,31.702315578785132,38.41652316166338,0.5428166613058338,0.9999935515390154,15.524508821076159,2.688062861514421,11.778693600734552
16,0.3733707807659924,0.4643202162942657,0.2957271336749437,0.35384076746684284,29.94608414826036,35.848396962978555,0.54852046746167,1.0389196758497174,17.1970985496033,2.853162481254705,12.562450263541157
17,0.36635835635252484,0.4664306528258765,0.2853464720010869,0.3540043778580256,28.901005556461218,35.86686843862844,0.5412044896385205,1.0186322582532144,16.08097378497594,2.7498852263536344,11.886403649453522
18,0.35978751650160234,0.47332749070083185,0.2785269291882609,0.3598311577266833,28.21248043532769,36.45644326336916,0.5349602808987132,1.0425589177079664,15.766100849114776,2.616070051945271,11.433919123332695
19,0.35393805906833614,0.4904659879954858,0.2724589307474708,0.3675965435079533,27.599831133815417,37.250120338790815,0.5488606275885095,1.0194844419907632,15.582542737860203,2.598617151502323,11.807386535717681
20,0.3513598105753236,0.4794389962542835,0.26753824709660373,0.35899952085115205,27.1051845202357,36.379391081369484,0.5441327297393583,1.044896452014091,15.951512978465658,2.592675708321452,11.657066654435548
21,0.34810132576844915,0.49007884031793575,0.2630312772908188,0.36643733018493285,26.651229054850333,37.13381185881122,0.54466618139468,1.0238678314290952,16.46559950062072,2.5667423320233147,12.000237736549671
22,0.3448394177940507,0.4858959802582325,0.25882347927597243,0.363760611612789,26.227187345391297,36.86195714153713,0.543881432642744,1.0348068019756191,15.867304187382159,2.5756265737675634,11.568138791972544
23,0.3421571925465086,0.49266457043168166,0.25689427148063304,0.3678221545420417,26.03158434060981,37.27488002463585,0.5472608243633855,1.0357621900397167,16.100399749763852,2.6386527328173104,11.76456697307046
24,0.34155626209045453,0.4879085878638422,0.2560478856832264,0.364772904883779,25.946344830413093,36.965199076241746,0.5444577220994448,1.0298872331087336,16.203624091234833,2.634451832964572,11.718636328133838
25,0.3409378625637366,0.4882612375260979,0.2546282903506603,0.36479204114733244,25.80376689762977,36.96746535225934,0.54592098191224,1.031801928049475,15.955527722312727,2.5755567214099866,11.64826567409238
