arm,epoch,attempt_id,global_step,timestamp,learning_rate,train_loss,val_auroc,val_auprc,val_ece,val_brier,val_task_loss,val_coord_r2_endpoint,val_coord_r2_relation,val_coord_r2_context,val_coord_dist_acc,val_coord_loss,val_kd_loss,val_kd_truth_source,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio,val_threshold,val_rd_geometric,val_rd_mean_abs_log,selection_rule,epoch_steps,epoch_global_pairs,epoch_local_pairs,epoch_local_tokens,epoch_wall_seconds,epoch_data_wait_seconds,epoch_compute_seconds,validation_seconds,global_pairs_per_second
coord_gen_full,1,a0248236e6934243b98eb595d2267d35,361,2026-09-13T05:30:37.180821+00:00,0.00037249960803885894,2.211426707791484,0.7391063205846409,0.7791259648249318,0.15797217254901277,0.23828600650013623,0.8398846702680881,-0.9567284134116707,-0.21464827063140013,-0.03861828836814607,0.4534318309332336,1.6681024256166352,0.8250892475750405,validation_structure,0.3790492943521979,1.0719260789492373,9.425758899552427,3.9011140662456927,7.893598724588838,1.0390625,0.9995074191362321,0.2906334201698747,geometric_rd_five_rank_v1,361,221142,55452,45927752,389.7904293080792,2.1634311210364103,387.4786527099612,368.338377492968,567.3356331312478
coord_gen_full,2,a0248236e6934243b98eb595d2267d35,721,2026-09-13T05:43:17.132812+00:00,0.0009083674948152555,1.9365715835442276,0.7766203519508936,0.7990239799811208,0.13446152396335115,0.21199788249247561,0.6439022238801854,-0.20942787715799716,0.040948617806044085,0.17920880556857222,0.5530203852627642,1.3492647641024367,0.5615465804434266,validation_structure,0.38453332026115356,1.132370147505939,10.824017834386975,4.142189728759911,8.887437219394833,2.234375,1.0081326646959745,0.40450633308330586,geometric_rd_five_rank_v1,360,221142,55491,46005934,386.95064871106297,1.5468957852572203,385.29815942382817,372.46173465205356,571.499235720696
coord_gen_full,3,a0248236e6934243b98eb595d2267d35,1082,2026-09-13T05:56:00.544981+00:00,0.0009987771671376119,1.8433987887262033,0.7749792071879769,0.7929107564613205,0.2096633771958448,0.24531613831977792,0.7300682460083713,-0.3979507611360005,0.06143921400602137,0.21833560194903745,0.5768655320740602,1.3280707312417248,0.6314529206214307,validation_structure,0.36939006727233287,1.2089833783513302,13.032162182571447,5.4567744194756225,11.103802545841042,2.875,1.0102079240282824,0.5134234245258729,geometric_rd_five_rank_v1,361,221142,55430,45942916,388.6949522579089,1.5444467109628022,387.04606808471686,374.1745164110325,568.9345815153954
coord_gen_full,4,a0248236e6934243b98eb595d2267d35,1443,2026-09-13T06:08:41.213626+00:00,0.000989054529608752,1.7514346351845285,0.7789086542973205,0.797073744365901,0.13685009257811306,0.2132813291679057,0.6834499955532903,-0.2680460225132377,0.08821392645355264,0.11828397684850267,0.5569478212081541,1.4123515555551838,0.6005703963120563,validation_structure,0.3658992415089579,1.2010474222480154,14.408276192281718,5.7204328163367135,11.870456704557318,2.796875,0.9989567902662682,0.520262050726866,geometric_rd_five_rank_v1,361,221142,55455,45966532,386.1364888828248,1.5494585116393864,384.4794237365719,373.98599046608433,572.7042286001279
coord_gen_full,5,a0248236e6934243b98eb595d2267d35,1803,2026-09-13T06:21:33.541832+00:00,0.0009698728911478475,1.6859392963504463,0.7862570976161971,0.8073770552758753,0.1253548703722053,0.20753005226743076,0.703697337445032,-0.2694058523375551,0.086043957441444,0.17551694917454697,0.5379652141387694,1.3665773217781072,0.6489030987418644,validation_structure,0.3911955139801824,1.1002832676479262,9.327501049941587,3.5064131408047494,8.696475641859779,2.1875,1.0022902858608072,0.3515662499117969,geometric_rd_five_rank_v1,360,221142,55368,45890370,393.03673601103947,1.5835052821785212,391.34263717651385,378.7479358287528,562.6496959149097
coord_gen_full,6,a0248236e6934243b98eb595d2267d35,2164,2026-09-13T06:34:38.435802+00:00,0.0009414994575788334,1.6427048584269077,0.7828292173085036,0.8056458274370065,0.17036320034565888,0.22861327949495533,0.867074441824713,-0.2986278818016619,0.030801547793675166,0.050438551992238345,0.43659996259584816,1.6323883042438958,0.858892826370063,validation_structure,0.3872135876603727,1.0637301373248453,5.834098774221507,2.388361543168291,6.148041684530206,1.359375,1.0006619110981325,0.2853303860652445,geometric_rd_five_rank_v1,361,221142,55467,45864170,402.73165617883205,1.5479929042048752,401.0782899475098,381.6224110960029,549.1050842593869
coord_gen_full,7,a0248236e6934243b98eb595d2267d35,2525,2026-09-13T06:47:31.151540+00:00,0.0009045270716781735,1.6119649148842534,0.7849962027475719,0.802149238116481,0.173789219845849,0.22471693097001041,0.6765323494413975,-0.14418613827226445,0.09945174038229676,0.20043850222887105,0.5617168505704133,1.3729416145350033,0.5917749145377044,validation_structure,0.3621680329257636,1.1689891995249229,10.423441853569964,4.271958073010021,8.92620932573517,2.75,0.9988602645224882,0.4760834170619927,geometric_rd_five_rank_v1,361,221142,55420,45936480,396.4812391339801,1.5758079225197434,394.78245910644546,375.6842963518575,557.7615739978835
coord_gen_full,8,a0248236e6934243b98eb595d2267d35,2887,2026-09-13T07:00:17.529542+00:00,0.0008595414290775015,1.5859119191222006,0.7758476802482959,0.7983683540122559,0.11691845296704578,0.2098990759324613,0.6905278050645172,-0.09874531502561479,0.046365716498991905,0.08402195726462625,0.47821208154105105,1.5277509451781965,0.6497980320600788,validation_structure,0.3799151891918436,1.125973790888813,9.380402108105027,3.8747725434703635,8.305489621812386,1.859375,0.9962822853129633,0.4180353126051064,geometric_rd_five_rank_v1,362,221142,55475,46036367,391.2474440331571,1.554043585434556,389.58338430786125,374.58917260728776,565.2228618297603
coord_gen_full,9,a0248236e6934243b98eb595d2267d35,3248,2026-09-13T07:13:01.003356+00:00,0.000807666841991424,1.5376252860504414,0.7728429663248259,0.7999222022592171,0.11577085928879166,0.21019920675285625,0.6936908533996865,-0.17356651919956967,0.04376867373831583,0.07178034327058835,0.49111651393304656,1.548897376907904,0.6548051712106149,validation_structure,0.3880635165333245,1.10115421805803,7.527585508167347,3.2556482581496518,7.074329284490949,1.8828125,0.9998299794239314,0.3679921141679057,geometric_rd_five_rank_v1,361,221142,55473,45881151,390.16925516119227,1.5411527543328702,388.51940863037134,372.7597965602763,566.7847916633992
coord_gen_full,10,a0248236e6934243b98eb595d2267d35,3609,2026-09-13T07:25:42.726887+00:00,0.0007497999320391722,1.501157579532095,0.785015037735207,0.8083221690684794,0.11328682090310752,0.20395630920565558,0.6778538460189474,-0.2924892901135532,0.054726007511412655,0.08336583396315145,0.5,1.5211924605778004,0.6379447200082832,validation_structure,0.3820488681745876,1.0954093674469607,7.344804802602648,3.3226568296691794,7.457057589792821,1.9765625,0.9980129135444855,0.35268086232228735,geometric_rd_five_rank_v1,361,221142,55494,45964022,389.49272179603577,1.5695422366261482,387.8117396545407,371.66522052465007,567.7692743018819
coord_gen_full,11,a0248236e6934243b98eb595d2267d35,3971,2026-09-13T07:38:20.681896+00:00,0.000686888344367956,1.4680362588631808,0.7893414711206125,0.8080541850101459,0.14711105041241618,0.21346318854207694,0.7684839268923795,-0.3154475956323586,0.08177259585721086,0.1435230976314249,0.511875818215822,1.4844594754101696,0.709818130423499,validation_structure,0.3866327058433724,1.121797486690954,10.618005243584621,4.271650983452478,9.293757308531873,2.34375,0.9934420601415103,0.4304663944254366,geometric_rd_five_rank_v1,362,221142,55487,46026545,386.18581372499466,1.5335802426561713,384.54625436401346,371.22479060897604,572.6310810512491
coord_gen_full,12,a0248236e6934243b98eb595d2267d35,4332,2026-09-13T07:51:04.445662+00:00,0.000620504408778351,1.4385865547264878,0.7827957445449626,0.80215195394153,0.13195130082534867,0.2090204723676699,0.6797874628949961,-0.14467959528912444,0.07065767498880604,0.09406820772898583,0.5281466242752946,1.5572107167573472,0.6254155336110552,validation_structure,0.37362747434736243,1.173753932076648,9.579541770472888,4.508532696735528,8.58094588458899,2.53125,1.0066540824531103,0.47060158532537555,geometric_rd_five_rank_v1,361,221142,55404,45874887,388.2883596061729,1.5874911793507636,386.5785136413574,374.9183049327694,569.5303362282003
coord_gen_frozen,1,476fa7bd65804f07b57e92ef83fbc6c8,361,2026-09-13T05:27:18.616613+00:00,0.00037249960803885894,1.5874258520787086,0.7843570198663476,0.8078748860628749,0.22541968003516002,0.2545128441902175,1.0311148125601737,-0.24528620406846868,0.12531266519287443,-0.004944774044220113,0.5444174303347672,1.3788096990087266,0.6560285016862989,validation_structure,0.39840519349183184,1.0944985834831786,9.212053129084866,3.978692884408167,8.382982428407999,1.921875,0.9989785523827047,0.35458852016259607,geometric_rd_five_rank_v1,361,221142,55452,45927752,280.0080134118907,1.8116630730219185,278.09374896240246,275.968510244973,789.7702544487573
coord_gen_frozen,2,476fa7bd65804f07b57e92ef83fbc6c8,721,2026-09-13T05:36:33.737596+00:00,0.0009083674948152555,1.361111744771665,0.7788646185509273,0.8030569627834475,0.23052020221129624,0.25702875308093237,1.0750921990266236,-0.43962006263566544,0.07418000205378028,0.039759603172938696,0.5249672713671217,1.4964709943430388,0.6638082486734265,validation_structure,0.40073873388184256,1.1192237996083787,11.062378464682782,4.506503754663592,9.176718224731895,2.28125,1.004731637807083,0.3915489725533734,geometric_rd_five_rank_v1,360,221142,55491,46005934,278.821967700962,1.6472860160283744,277.0615548400878,275.7048821868375,793.1297588329767
coord_gen_frozen,3,476fa7bd65804f07b57e92ef83fbc6c8,1082,2026-09-13T05:45:50.227271+00:00,0.0009987771671376119,1.3024651687292785,0.7820785110139559,0.805691630838996,0.2342889194374869,0.26279213171024995,1.068869659764113,-0.26244366158466037,0.16816560083902865,0.21450576363038276,0.5907050682625772,1.2466423412210499,0.7074564399223128,validation_structure,0.4030046004569931,1.1032838371611875,9.60557513187453,4.01639169817557,8.56179685866051,1.546875,0.998727838363637,0.37290595089559586,geometric_rd_five_rank_v1,361,221142,55430,45942916,279.7171654133126,1.6451482316479087,277.9517197265624,276.20612940890715,790.5914521664718
