epoch,train_loss,val_task_loss,kd_rep_loss,val_kd_rep_loss,train_total,val_total,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio
1,0.7104008494863598,0.6415613570208748,0.7329201585292959,0.5923880338668823,0.7836928653392894,0.700800160407563,0.32372540734449895,1.1417854895188082,18.518224338006245,3.760610470762526,13.31089979710885
2,0.6343682062838399,0.5645358041440256,0.47986663096504945,0.40599870681762695,0.6823548693803448,0.6051356748257883,0.42389990218845275,1.0636314421145898,19.292483413692246,3.6358352165708796,15.08554891950481
3,0.5699307143442887,0.5253394856733438,0.3746284393661242,0.3508468270301819,0.6073935582809011,0.560424168376362,0.4696821586997563,1.0374598719149895,21.4596085029257,4.34056510951483,16.628872689730226
4,0.5257611480559853,0.47267133452052407,0.3284638083411927,0.3036010265350342,0.5586075288901046,0.5030314371740274,0.49054151217874525,1.0801773736524378,14.305786526409703,2.6058722078554624,13.503024909755935
5,0.4835664744948279,0.4518932730973034,0.2818149151301841,0.2657567262649536,0.5117479660078463,0.4784689457237988,0.4993159449417032,1.1438281373061225,18.48935575206532,3.7308771386362154,15.287772503974749
6,0.4753671466726086,0.4444527279472503,0.2596020201853475,0.24624449014663696,0.5013273486911434,0.46907717696191403,0.5112966386933404,1.0138174042654444,17.79902199024495,3.4026198287040645,14.79070455664888
7,0.4591514772342261,0.45866228513027346,0.24655634526305203,0.23960477113723755,0.4838071117605313,0.4826227622439972,0.49057587789253054,1.0649181276990904,15.631854297476822,2.783363180822467,12.34825246330577
8,0.43791076416015495,0.44125904347210065,0.23304577879736021,0.22181826829910278,0.46121534203989095,0.4634408703020109,0.5000087046378265,1.0676556071226169,14.550113280066283,2.3487262430501623,11.391944857935282
9,0.4289374637627602,0.45890449759070434,0.22467973234529492,0.21877777576446533,0.4514054369972897,0.4807822751671509,0.5209633126589134,0.9988903135644069,15.489862456275809,2.750724754602269,12.50238516812193
10,0.4188387328756898,0.45922182927385313,0.21923927230039364,0.2137758731842041,0.4407626601057292,0.48059941659227357,0.502026076873827,1.0996808839816181,16.93219074135521,2.945726728350969,11.93836037863964
11,0.4102919402315497,0.4455498015976422,0.21464001258377863,0.20891070365905762,0.4317559414899276,0.46644087196354794,0.513372103968311,1.0116786767813508,16.295342290731064,3.0575473571577776,12.302371946271869
12,0.38758877079683485,0.47166950542632635,0.20965577900656396,0.20919817686080933,0.40855434869749124,0.4925893231124073,0.5015999892816695,1.0431968029433265,14.814621193364875,2.474528519121024,10.860456734803945
13,0.3851393966703719,0.4709477658702341,0.20703253141510503,0.20416080951690674,0.4058426498118824,0.4913638468219248,0.5056320975185625,1.0599423687227247,14.128919553743536,2.7188429690770577,10.661888519505146
14,0.3738189210523531,0.4873241916191629,0.204576318328892,0.20610332489013672,0.39427655288524227,0.5079345241081765,0.5047647880131063,1.040543550593919,12.981644046093287,2.4736987820772702,10.040980369594001
15,0.3670203323195666,0.46425295245995235,0.2024372706520987,0.20217150449752808,0.3872640593847765,0.48447010290970516,0.47847142120467795,1.1426701905811536,15.58885497541843,3.3039940971427897,10.760319259992418
16,0.3556330192746883,0.4729690325204992,0.20067918817995156,0.200111985206604,0.37570093809268346,0.4929802310411596,0.4932252412444348,1.097641718499007,14.96643837891576,2.7630155278877986,10.461124233169546
17,0.34236086258690696,0.483785297072123,0.19852856966346044,0.199862539768219,0.362213719553253,0.5037715510489449,0.479649994526358,1.064943833623156,13.988002544315243,2.741341206828358,10.19489007681152
18,0.3321339555403236,0.4820142657976928,0.19728138460644729,0.199224054813385,0.35186209400096835,0.5019366712790313,0.47666345744243277,1.096262038723649,14.828404933292111,2.6707440968782827,10.385354266516444
19,0.3253672733856762,0.5000536166571666,0.1967604251543953,0.19954806566238403,0.34504331590111575,0.520008423223405,0.49187852321750464,1.0544006601237892,13.368819542527575,2.682831072541414,9.97313559164533
20,0.3178184182204625,0.4887103561180477,0.19672231028767917,0.19741499423980713,0.3374906492492304,0.5084518555420284,0.47842889854646503,1.1016979107904723,14.12057645934458,2.8273652101404108,10.01166188815941
21,0.31059722866442757,0.4981508428693281,0.19498281362674208,0.19776564836502075,0.3300955100271018,0.5179274077058301,0.48032289746664186,1.0583752833399769,14.063985004869403,2.820008256155984,10.245747651993781
22,0.3058146054867957,0.5028917710901151,0.19509441634432212,0.1977824568748474,0.32532404712122787,0.5226700167775998,0.47380067992242086,1.0520751387352243,13.81963626122489,2.7438180841421125,10.194278819097896
23,0.3025041073717482,0.5034974341829398,0.19583815891493694,0.19796109199523926,0.3220879232632419,0.5232935433824637,0.47336963819548367,1.0690273792726779,14.063035816664554,2.806697485224828,10.137771049673125
24,0.30195594570970763,0.4997511371375051,0.19563321558549174,0.19743669033050537,0.3215192672682568,0.5194948061705557,0.46964915900781956,1.0471340792375528,14.064243689409055,2.752404197198632,10.29180430194304
25,0.3000595357389036,0.49851018252904117,0.1952048990585291,0.1974077820777893,0.3195800256447565,0.5182509607368201,0.46809172750989303,1.0749671385829163,14.085261723350603,2.8453275287107487,10.129227588474198
