epoch,train_loss,val_task_loss,kd_gram,val_kd_gram_block_loss,train_total,val_total,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio
1,0.7091504609453331,0.6132236621056413,0.14676211525614657,0.08446896931855008,0.8559125762014796,0.6976926314241914,0.32093753193530905,1.1195887139132457,21.836257601038998,4.5057980412335965,14.894397703381449
2,0.6387472642127091,0.5447519447435988,0.11754975697670512,0.0866247748490423,0.7562970211894142,0.6313767195926411,0.3785314655707323,1.1161205772785021,19.260070485841172,3.8706295544720493,14.551999991860697
3,0.570742495310271,0.517125693657216,0.11084689761358078,0.0854838837403804,0.6815893929238518,0.6026095773975964,0.4772270557019068,1.0224773259404847,20.626353859748093,4.215784957462888,16.36489110028194
4,0.5135430487510154,0.47934348129956555,0.10274138539733563,0.08705423719948158,0.6162844341483511,0.5663977184990472,0.478585125745312,1.0530029090020885,15.459684438868837,3.267889721252351,13.62285715021462
5,0.49272113384317145,0.4626671482798064,0.09843099523237414,0.08174139296170324,0.5911521290755456,0.5444085412415096,0.48954474433625045,1.1422999249559944,14.809602254865874,2.568936371180891,13.520153926336212
6,0.46411991635958816,0.43634043198051314,0.09365509265923988,0.07514519611140713,0.557775009018828,0.5114856280919202,0.524460224709275,1.0259010523282142,17.696348555263516,3.3857454666802544,14.614547686973502
7,0.4429836750479113,0.4335006637526183,0.08930962298434689,0.07712051586713642,0.5322932980322582,0.5106211796197547,0.5261850849749871,0.997346621507463,15.557331731625217,2.8271041823335663,12.721834415891632
8,0.4269314282885033,0.4379376389892327,0.08578485743850679,0.07452029694104567,0.5127162857270101,0.5124579359302783,0.5263728314928232,0.9762191580541136,16.265322542235584,3.193498053413892,13.395147728452487
9,0.4109642136105637,0.4378980103777579,0.08343402853586562,0.07189365968224593,0.4943982421464293,0.5097916700600038,0.5277476504552673,1.012125372057717,16.227716126261754,2.6611376460920226,12.333056534010607
10,0.4079158145574898,0.449635344141567,0.08176692430051509,0.07481616208679043,0.4896827388580049,0.5244515062283575,0.5311255171767676,1.048396190494534,13.46615822976838,2.5510687314795053,11.274431046759942
11,0.3873300011162703,0.43065741879241237,0.07847623715446396,0.07535598345566541,0.46580623827073425,0.5060134022480778,0.5228254561482552,1.0292327406588657,15.991969623842042,2.947813021608423,11.995754225808978
12,0.3775648558434592,0.5302850672661372,0.07732612899460005,0.0767033651645761,0.4548909848380593,0.6069884324307133,0.5311117925695028,1.04384880574279,13.299733212863126,2.7376702109392923,10.939480298794173
13,0.3771899372582841,0.4440223454457662,0.07672184583718485,0.07326741330325603,0.4539117830954689,0.5172897587490222,0.5224271153263874,1.0363370180084117,13.861719373078957,2.560976405230608,10.736028991835049
14,0.3493633046074394,0.4455285302892496,0.07265559433991489,0.07342999975662678,0.42201889894735434,0.5189585300458763,0.5225428841683272,1.040545460607374,14.476371742734045,2.747298399181913,10.859660536870415
15,0.34305743600223687,0.4526074135718882,0.07221676704238363,0.07273073223768733,0.4152742030446205,0.5253381458095756,0.5086816774893649,1.0403383575629988,13.245620634599854,2.7086031497882193,10.01870258047542
16,0.331739865180728,0.4754634559095714,0.07060307053553526,0.07379555684747174,0.4023429357162633,0.5492590127570431,0.5136438986856744,1.0482473514623754,13.598230525147612,2.818858161686467,10.068620444055137
17,0.3264846692994048,0.4634152056059185,0.06989738302086858,0.0736688527977094,0.39638205232027335,0.5370840584036278,0.5052302020572959,1.075509376646846,13.301784816278408,2.741225264190861,9.730157165711814
18,0.31775577806558064,0.47663359232723856,0.06917522978953651,0.07505142147419974,0.38693100785511714,0.5516850138014383,0.4907341460986992,1.0764979857245367,12.83107666455055,2.9101037039308624,9.435605809131388
19,0.31059256680450176,0.4765232677402395,0.06814022829786331,0.07300837809452787,0.37873279510236507,0.5495316458347674,0.5000811757849923,1.0404925946586376,13.327155396768752,2.832312411635688,9.788621127033123
20,0.30175379553245185,0.4706066534095043,0.06716631448456288,0.07402139063924551,0.36892011001701475,0.5446280440487499,0.4771866402168254,1.0482264401266896,13.837348535904919,2.9895115568854296,10.070340774593543
21,0.2962683245400814,0.47610475579364175,0.06656907075073872,0.07448692771140486,0.3628373952908201,0.5505916835050466,0.4807725180183202,1.0164659162472198,13.967485658888874,2.677485129499961,10.362196839899369
22,0.29197034362460916,0.4900940133709436,0.0659962366798182,0.07357762008905411,0.35796658030442735,0.5636716334599977,0.4863524928387781,1.042798505196396,13.833108931542991,2.9289453227318143,10.063769345831886
23,0.2890277334482188,0.4806524298680284,0.06579291352450878,0.07323181541869417,0.3548206469727276,0.5538842452867225,0.4805806127169711,1.0357238450651496,13.709551841968073,2.8311058671457454,9.99092601722893
24,0.28745089220391934,0.48531716626006827,0.06572782003770533,0.07340963667957112,0.35317871224162467,0.5587268029396394,0.4805085315302617,1.0496630866972696,13.550429551172812,2.941248776230926,9.856408416724665
25,0.28615099932778687,0.48396152175246826,0.06558074262325224,0.07356132502900437,0.3517317419510391,0.5575228467814726,0.48085657674006105,1.082780820642164,13.442142101060057,3.2196094394994286,9.591571308550307
