epoch,train_loss,val_task_loss,kd_struct_loss,val_kd_struct_loss,train_total,val_total,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio,val_kd_struct_r2_log1p_cn,val_kd_struct_r2_log1p_deg_sum,val_kd_struct_r2_log1p_deg_absdiff,val_kd_struct_r2_jaccard,val_kd_struct_r2_log1p_adamic_adar,val_auprc
1,0.7134319639345955,0.6013098579547946,1.0675979152584703,0.7891128522075536,1.7810298791930657,1.390422710162348,0.33543925646362144,1.054832657896361,19.363539340251126,4.3374751233251505,14.415092542432628,0.33240461913458474,0.5007328886010792,0.1553498880970331,0.5252366959427149,0.33609279320855856,0.7848488641334526
2,0.5954661863357743,0.49007179548797153,0.6631011889905979,0.5745030972739884,1.2585673753263722,1.0645748927619598,0.48177568830922446,1.0523049959540234,20.951717915643954,4.113676984637085,16.709607551074555,0.5280368219764995,0.5524288095822845,0.2677745215957602,0.719793716692753,0.5504453329339818,0.8771764671535565
3,0.5094046741482834,0.459132239389111,0.5327482090909736,0.621905523307077,1.042152883239257,1.081037762696188,0.5074435703776403,1.02286072377745,16.519858228922107,3.3295292415844697,13.662548758431644,0.5331416669098566,0.3929663357613,0.160571729772928,0.7446577350931519,0.5218670905961902,0.8961435824182129
4,0.48454352672893786,0.4566261771670109,0.48383284161248186,0.6230899784807218,0.9683763683414197,1.0797161556477328,0.519231127554524,1.0026094565436063,16.394488935925278,3.379346034770896,13.373940017988547,0.5466068284490224,0.24194265786831504,0.28865351561330277,0.7286228724443405,0.5433704372953654,0.9019520439381011
5,0.4672788662017708,0.47695171503401446,0.44073873338489805,0.5662119717325745,0.9080175995866688,1.043163686766589,0.5139006264594105,1.0867173833431947,13.382299375605992,2.6460989708172096,10.824641406089512,0.5876065242511941,0.5143772240905011,0.23504318408217895,0.7187963313368022,0.5675879442293288,0.9050978324579164
6,0.4487045902094126,0.43075275966528037,0.3957456397535886,0.5341794876236018,0.8444502299630012,0.9649322472888822,0.5435498371864204,0.9810557891013646,15.691511318833752,2.8258824080511378,12.72727387064326,0.6140471239280496,0.4243957408004595,0.3136025686734122,0.7658396743363037,0.6062713121728039,0.9129667147083027
7,0.43359378721896547,0.46967805782451627,0.36392148504072747,0.5886633062582154,0.797515272259693,1.0583413640827317,0.5380561185904705,1.0032061470482414,14.644864373432537,2.750939711732937,11.759686188347121,0.5435753449135392,0.523232053037272,0.2945160430659073,0.6940065388245302,0.5208342412060869,0.9123727086393028
8,0.4174431529033997,0.46014491871428004,0.330669568864812,0.6664566932007191,0.7481127217682118,1.126601611914999,0.5374242091293493,0.9554842865228361,14.87937931469869,2.877895711139948,12.163736007767987,0.5150225706026526,0.19542914566518133,0.3239565473346502,0.6825454867050753,0.48880055004872336,0.9147392989820274
9,0.41101976519255407,0.42150001918342234,0.31588830555306574,0.5333334616434587,0.7269080707456198,0.954833480826881,0.5577515973797019,0.9847757248762172,15.932664754265621,2.8925969945982706,12.361232488175709,0.6264593350904599,0.5084567656078052,0.282537997159637,0.7243918759325041,0.6110830277985406,0.9199558783608681
10,0.3963982695897755,0.43149142359187986,0.29551988570101645,0.5065216310945231,0.6919181552907919,0.938013054686403,0.5545895038405153,0.9959271497758125,14.711557712067124,2.7839325735426894,11.675207044448529,0.6378647374241442,0.6118933823887154,0.3245299022094543,0.7209347019572003,0.6042723370205397,0.9231206539786577
11,0.3807463280160804,0.4190636848035982,0.26889138043274086,0.5362924311083007,0.6496377084488212,0.9553561159118988,0.5325760697397536,0.9947709072185827,13.461925755691958,2.8411068955874055,10.481612205822977,0.6216333998082204,0.4402677172499795,0.3849141944239173,0.7243638924122153,0.5878487233428331,0.9225502675549713
12,0.36697518599476026,0.4208220391778709,0.24374051336796398,0.5024113727652844,0.6107156993627243,0.9232334119431553,0.5239028401173392,1.0702318806731659,17.10340261411122,3.3569985673630387,11.822432739732413,0.6488555980343894,0.5319202629333426,0.41116053280895626,0.7066386220618971,0.6235824978207052,0.9223676958452407
13,0.3531764493127451,0.42355102127288774,0.22847850695788183,0.5425518742933076,0.5816549562706269,0.9661028955661954,0.5396535943885964,1.032088144848868,14.812507719069242,3.0264701758931043,10.856679108455628,0.6285976591683086,0.4504168318093482,0.3705468500706067,0.6976779093768049,0.5934790637837659,0.9234111727793854
14,0.3394672587881207,0.42073479022757804,0.21080641236138395,0.6894036300963496,0.5502736711495047,1.1101384203239277,0.530910281836841,1.0368813487779134,13.18799631928335,3.054951503134868,9.907166038847743,0.5499806349925644,0.03810453039361672,0.33174336315628083,0.6661262132726234,0.49302346401969876,0.9243715620820762
15,0.33358320056346086,0.42785123116368495,0.20827394091430962,0.5973492549055601,0.5418571414777704,1.0252004860692452,0.5326516836302211,1.0304962021873967,14.028555844929745,3.524428408693238,10.213103163363817,0.5607060644477037,0.32580821210734856,0.4539057849920616,0.6744273831817793,0.5285094700515217,0.9252810341940872
16,0.31742294036909185,0.43531022428760496,0.18970145726885976,0.5510655999797213,0.5071243976379516,0.9863758242673262,0.4811028342097017,1.0470276005194186,14.128080138498891,3.74827391060102,10.051495488937247,0.6321884268190829,0.303928051022068,0.43894109045090357,0.7146573796437297,0.5937168380737579,0.917287653012765
17,0.3113269460553318,0.4304598509724492,0.18203405275466802,0.6535012736470512,0.49336099880999984,1.0839611246195004,0.5142198976651746,1.0254279577702388,13.54161389013364,3.6730950352686125,9.997990081251954,0.5689997998960515,0.29854381897818705,0.226758113367862,0.6451163476971041,0.5182975196635748,0.9223364374348477
18,0.3014145441839644,0.44035956911929147,0.1740112027559977,0.5111401836331616,0.4754257469399621,0.9514997527524531,0.49661704757582675,1.0350514151115495,14.261713403323647,3.707352333848103,10.25324024327154,0.6435835630386497,0.45561378571220945,0.5030471644070599,0.7004416201627,0.5998999226660832,0.9194842932008396
19,0.29087689334046496,0.44322853530440803,0.16287596813729546,0.5459418398700073,0.4537528614777604,0.9891703751744154,0.4893970048556878,1.0716670519756981,13.779869340953837,3.9169181462521343,9.674175215185967,0.6179031442242221,0.3968787903391582,0.4842750307789673,0.6839873454142521,0.5741394457187186,0.9177933965938192
20,0.28040924462550704,0.4612443875481886,0.15633315969082054,0.6320424662334939,0.4367424043163276,1.0932868537816824,0.4878360679757949,1.0391307873906597,13.161322698919669,4.056343189319839,9.605892392594543,0.5541106718670976,0.2405646632193137,0.4641095033868827,0.6441350718020176,0.5009628649760238,0.9118686506902733
21,0.2746080720468616,0.4542030959455082,0.15147295558736026,0.5507831924741986,0.42608102763422184,1.0049862884197067,0.4648102572549184,1.0808208057265154,13.668746598293444,4.347623234471464,9.805848306555184,0.6190828151448132,0.36034590755180207,0.49485586241995705,0.6823792411086639,0.575439262463564,0.9085881156834651
22,0.266808057858823,0.4528601785501611,0.1469902230574866,0.5732266594853072,0.4137982809163096,1.0260868380354682,0.44582520652138485,1.1149116851351077,13.354555902794305,4.8491172132941305,9.559972518617638,0.6065725388350358,0.32355914172944467,0.4853204537483846,0.6720698203925859,0.5524716578612464,0.9054362175537387
