epoch,val_auprc,val_task_loss,val_kd_struct_loss,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio,val_kd_struct_r2_pc2,val_kd_struct_r2_pc3,val_kd_struct_r2_pc4,val_kd_struct_r2_pc5,val_kd_struct_r2_pc6,val_kd_struct_r2_pc7,val_kd_struct_r2_pc8
1,0.7834999501630783,0.6103748306298827,0.8862457711888396,0.32276847245876794,1.1436596796171536,16.323734897694205,3.470454948624968,11.970821830602631,0.4521653299882601,0.1041834695621644,-0.03753148374145798,0.20653563397583008,-0.018590360758606428,0.022737197239683815,0.06898947371498454
2,0.8739958479500851,0.4968825234432232,0.8584191892064438,0.46226977897791355,1.012884838696054,18.533859753431333,3.712267978882846,15.174536945397138,0.5592823652374808,0.20765288976416996,-0.2732481331205079,0.22664045808793531,-0.002590612506942147,0.06159208151059914,0.1600140419685484
3,0.8964720964927465,0.4564791054194464,0.8415081201392178,0.5099653463493194,0.9908030935283164,21.96894671569255,4.5576340363164505,17.437250226503174,0.5066398936175309,0.23223540970038836,-0.04184364237314697,0.16479627188090562,0.014702973362552108,-0.0011831464011395898,0.23101006740285823
4,0.9053689246251597,0.4512629333659003,0.8421607971782006,0.5098267543731766,1.016152929298051,15.650018824903977,3.2168368516065287,13.6332892147321,0.6131781455057594,0.15329234847116935,-0.20419868740556057,0.20961900037977654,-0.07583788119772983,0.11758604886009028,0.2418179778675309
5,0.9125999675917993,0.4367621870601267,0.804378334931249,0.52284477668273,1.0371372131508927,16.592093912593466,3.067691011058854,13.88135873166641,0.5935912556475108,0.2704248382044716,-0.2644297639376434,0.23647697512747912,0.03826837557631091,0.13734477177228,0.2944427931134136
6,0.9171026105235036,0.42291228101956374,0.8446911698637513,0.539413175211075,1.0073344823159232,15.244422065825745,2.5763312141112364,12.901349285325285,0.6150354976877193,0.276580949718889,-0.6004230013070952,0.1656047203954646,0.04269111086543964,0.17247246754265688,0.292248620482766
7,0.9187851867415304,0.4245115531827363,0.9494409403507007,0.5280504858508193,0.9976759698604953,19.09283770417309,4.191934484448857,14.22031640460927,0.5915913123246929,0.31780460477456696,-1.09218260247951,0.03532295645029082,-0.05942524083978462,0.0690789823315957,0.30052722547278643
8,0.9222627946886165,0.4282138677909036,0.9231842337297401,0.5361588440808477,1.0109017339047113,14.34582188346009,2.3318268459284957,11.386021967318728,0.6333587205803182,0.341374964421821,-1.370715344479199,0.1867371031617462,0.03778033639110989,0.18102251683167836,0.2708607457066461
9,0.9249253951287837,0.42148935191070314,0.9934882486125914,0.5292307045416028,1.0338102931947677,15.196400921973673,2.392949106988289,11.410715599061495,0.6049383630835653,0.37437253839030415,-1.7163219778873446,0.011008788861549434,-0.05285178325357376,0.1993234424075211,0.3158513053288182
10,0.9252466553176102,0.42197954829930884,0.9802663537945814,0.5315049758405376,0.9932063427681217,14.938713298577916,2.4453381147205278,11.19111608020805,0.6313547636384049,0.23885975065806808,-1.5750419543188086,0.09260766389300823,0.0065019000818246075,0.17847181118309907,0.27545916366843026
11,0.9257570052690912,0.42676095766294675,0.9729243918660738,0.5187814872298324,1.0475254006799974,14.856327357070516,2.462844357788981,10.791512106949309,0.6497048966924737,0.37492985943954826,-1.8044485752765063,0.03932360098769361,0.04309115660132867,0.2507735060019106,0.30200424546812155
12,0.9263830085938457,0.4285347795721661,1.022668342939352,0.5236997537152975,1.0090419807490612,15.108962966959261,2.6034309614054147,11.182415043439553,0.6473877394917404,0.3395099960277028,-2.086080170044887,-0.014483723416141014,-0.01272390736260598,0.25954977112051814,0.3264631700365087
13,0.9269504953145427,0.43666132343043956,0.9845095975544329,0.5368484030265527,1.0334484715212644,16.12365375930312,2.884192559541471,11.308077098356444,0.6541925566950811,0.34207920224740584,-1.9541369674786342,0.062437854394658654,0.06010699787660945,0.2599715692666812,0.32037476030436285
14,0.9245866324029883,0.44465906328190685,1.0437288691630437,0.5069050367116363,1.0746208126534953,12.819317427176651,2.616191532978053,9.476665600502324,0.648407498528494,0.38069094639132595,-2.4569871163557737,0.011109179963655569,0.023614028050259805,0.3074166497770888,0.32879408663850473
15,0.9268830245159974,0.4479235626075702,1.0356708153228165,0.5381901590360062,1.0381353579407138,13.858108603667825,2.8941015478498713,10.074861205709723,0.6639740150222404,0.24420133944561428,-2.188790514840186,0.003530826549779431,0.004293604927155359,0.30654793790582535,0.3103238854320741
