epoch,train_loss,train_kd_loss,val_task_loss,val_auprc,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio,learning_rate,grad_norm_task,grad_norm_kd
1,0.7104008494863598,0.07224832645634997,0.6415613570208748,0.7718761909751998,0.32372540734449895,1.1417854895188082,18.518224338006245,3.760610470762526,13.31089979710885,3.760410111236886e-05,19.446837425231934,0.380753755569458
2,0.6343682062838399,0.04672995972324093,0.5645358041440256,0.8457267233110377,0.42389990218845275,1.0636314421145898,19.292483413692246,3.6358352165708796,15.08554891950481,9.136492063404586e-05,25.245126724243164,0.348716601729393
3,0.5699307143442887,0.03683486426214002,0.5253394856733438,0.8777308591721906,0.4696821586997563,1.0374598719149895,21.4596085029257,4.34056510951483,16.628872689730226,9.986884143225903e-05,17.874269008636475,0.29106994718313217
4,0.5257611480559853,0.032265311678133485,0.47267133452052407,0.8928869459785505,0.49054151217874525,1.0801773736524378,14.305786526409703,2.6058722078554624,13.503024909755935,9.887982808754606e-05,13.690260171890259,0.21726195141673088
5,0.4835664744948279,0.027719089550510893,0.4518932730973034,0.8980181760570795,0.4993159449417032,1.1438281373061225,18.48935575206532,3.7308771386362154,15.287772503974749,9.693942838186186e-05,5.2140467166900635,0.18894312158226967
6,0.4753671466726086,0.025658784961363056,0.4444527279472503,0.9063350124973844,0.5112966386933404,1.0138174042654444,17.79902199024495,3.4026198287040645,14.79070455664888,9.408540998830565e-05,2.051244229078293,0.15111489593982697
7,0.4591514772342261,0.02438033729756497,0.45866228513027346,0.9053461190532387,0.49057587789253054,1.0649181276990904,15.631854297476822,2.783363180822467,12.34825246330577,9.037332312851018e-05,2.998923659324646,0.136736698448658
8,0.43791076416015495,0.02301664220801783,0.44125904347210065,0.909095697059289,0.5000087046378265,1.0676556071226169,14.550113280066283,2.3487262430501623,11.391944857935282,8.587541935076515e-05,7.9566168785095215,0.16455824300646782
9,0.4289374637627602,0.022272810638653783,0.45890449759070434,0.9117532285991974,0.5209633126589134,0.9988903135644069,15.489862456275809,2.750724754602269,12.50238516812193,8.067924523581465e-05,2.1131954193115234,0.12917557545006275
10,0.4188387328756898,0.02176273764409828,0.45922182927385313,0.9089296439174198,0.502026076873827,1.0996808839816181,16.93219074135521,2.945726728350969,11.93836037863964,7.488593840224576e-05,2.4696152210235596,0.17136761918663979
11,0.4102919402315497,0.02128985523298945,0.4455498015976422,0.9147469809165503,0.513372103968311,1.0116786767813508,16.295342290731064,3.0575473571577776,12.302371946271869,6.860825897778502e-05,9.189225196838379,0.11838171631097794
12,0.38758877079683485,0.020816706252758794,0.47166950542632635,0.9126785280884062,0.5015999892816695,1.0431968029433265,14.814621193364875,2.474528519121024,10.860456734803945,6.196839485167507e-05,6.192362695932388,0.13680126704275608
13,0.3851393966703719,0.02053539532254327,0.4709477658702341,0.916002096722314,0.5056320975185625,1.0599423687227247,14.128919553743536,2.7188429690770577,10.661888519505146,5.5095583426397126e-05,7.7330509424209595,0.2580919414758682
14,0.3738189210523531,0.02034744472717339,0.4873241916191629,0.91584871488074,0.5047647880131063,1.040543550593919,12.981644046093287,2.4736987820772702,10.040980369594001,4.8123596158637104e-05,3.6664919257164,0.1598515659570694
15,0.3670203323195666,0.02015644797774137,0.46425295245995235,0.9128884904604558,0.47847142120467795,1.1426701905811536,15.58885497541843,3.3039940971427897,10.760319259992418,4.1188134850043986e-05,3.7676966190338135,0.184268057346344
16,0.3556330192746883,0.01997085132653702,0.4729690325204992,0.9137955188431093,0.4932252412444348,1.097641718499007,14.96643837891576,2.7630155278877986,10.461124233169546,3.442419036601921e-05,11.649483442306519,0.16672658547759056
17,0.34236086258690696,0.019756007210333954,0.483785297072123,0.9137550919078138,0.479649994526358,1.064943833623156,13.988002544315243,2.741341206828358,10.19489007681152,2.796341519207152e-05,6.5994391441345215,0.10843296349048615
18,0.3321339555403236,0.019642143457565667,0.4820142657976928,0.9112853379829836,0.47666345744243277,1.096262038723649,14.828404933292111,2.6707440968782827,10.385354266516444,2.1931560967938948e-05,5.98579066991806,0.23553117737174034
19,0.3253672733856762,0.019599897962696147,0.5000536166571666,0.9121596714160634,0.49187852321750464,1.0544006601237892,13.368819542527575,2.682831072541414,9.97313559164533,1.6446030874961792e-05,6.286524951457977,0.13761387951672077
20,0.3178184182204625,0.01961009917815901,0.4887103561180477,0.9121535830499201,0.47842889854646503,1.1016979107904723,14.12057645934458,2.8273652101404108,10.01166188815941,1.1613594516701804e-05,3.9287132620811462,0.19187955185770988
21,0.31059722866442757,0.019436481645998527,0.4981508428693281,0.9125094447802224,0.48032289746664186,1.0583752833399769,14.063985004869403,2.820008256155984,10.245747651993781,7.528309770057675e-06,8.184946835041046,0.1418008729815483
22,0.3058146054867957,0.019462202236337482,0.5028917710901151,0.9114441230494366,0.47380067992242086,1.0520751387352243,13.81963626122489,2.7438180841421125,10.194278819097896,4.269692055680278e-06,4.207080125808716,0.15278795547783375
23,0.3025041073717482,0.019549419321471227,0.5034974341829398,0.910953098496004,0.47336963819548367,1.0690273792726779,14.063035816664554,2.806697485224828,10.137771049673125,1.9011666607572547e-06,4.688919484615326,0.1688569989055395
24,0.30195594570970763,0.01952151754730434,0.4997511371375051,0.9111373957196738,0.46964915900781956,1.0471340792375528,14.064243689409055,2.752404197198632,10.29180430194304,4.6883423794309566e-07,3.7111246585845947,0.15107570961117744
25,0.3000595357389036,0.019482018786289218,0.49851018252904117,0.9110547463886991,0.46809172750989303,1.0749671385829163,14.085261723350603,2.8453275287107487,10.129227588474198,5.735085938835517e-10,6.668570339679718,0.1466214284300804
