epoch,train_loss,val_task_loss,kd_rank_loss,val_kd_rank_loss,kd_dist_loss,val_kd_dist_loss,train_total,val_total,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio
1,0.7025393482328065,0.6750886513327831,0.10649212550116707,0.08822546899318695,0.0763271149898772,0.05396990850567818,1.4767213026548935,1.2236102832888835,,,,,
2,0.6137890069619055,0.5786890250329044,0.08694371791019194,0.07887923717498779,0.055396367516714846,0.04537485912442207,1.1765112077357025,1.0403255399946238,0.4247243936994552,1.153181993088335,17.045680910421257,3.3402128320378033,13.024815677710922
3,0.5555504365917211,0.4921268707222284,0.07797274697718799,0.07672879844903946,0.04729899129607568,0.0407404825091362,1.0363790168801132,0.9072045756584943,,,,,
4,0.5118500712509858,0.5075581587206172,0.07448500493970248,0.07400651276111603,0.04250095447449214,0.037109360098838806,0.9443225867508025,0.8860524109851168,0.49698671724818905,1.0349009646619125,18.71532993711447,3.1903501407793806,14.788842449619143
5,0.49942560019337423,0.47602910611303406,0.0723968375534475,0.07486925274133682,0.0405902237974135,0.038770150393247604,0.9125539594717922,0.8712175353196439,,,,,
6,0.47668158028006635,0.5419082446843104,0.0715290309080303,0.07487647980451584,0.03888946713180347,0.035761963576078415,0.8726958790317354,0.9070155284255461,0.49970396299299635,1.0838095571187163,12.728078417156993,2.1574296534789545,10.994753081776876
7,0.48670501016134987,0.5339080425122187,0.07105628094468863,0.07133538275957108,0.039556945267663124,0.03678177669644356,0.8894036060113227,0.9088593477526113,,,,,
8,0.460307197320359,0.46279778726481086,0.06958837727291901,0.0715472623705864,0.036572499674325985,0.031084677204489708,0.8329910117835471,0.7807992855467666,0.5130854056023368,1.0245339838055703,13.390211254505822,2.1766060080116407,11.030327445132624
9,0.44928694931646945,0.4482008540159505,0.06915594941304827,0.070855051279068,0.03534440223376879,0.03064149059355259,0.809635914094227,0.7617012650793832,,,,,
10,0.4412727107778913,0.444046369301605,0.06863906912641905,0.07077030837535858,0.03474496014559321,0.030186153948307037,0.7955807542263216,0.7529849396222112,0.5278618167815841,1.0132965651776549,15.313158444355729,2.4929461767162326,12.377227714580307
11,0.4339774140234134,0.5056842061452368,0.06858286649532251,0.06938941031694412,0.0340769165328241,0.03180011734366417,0.78162131440492,0.8306243206135729,,,,,
12,0.42680575760339085,0.4473142815911561,0.06822889551841253,0.07093954086303711,0.03345174428186341,0.029679182916879654,0.7681473844162178,0.7512000648462563,0.5209558606230967,1.0728180986341513,14.341465696804294,2.499837321729511,11.191241013908177
13,0.4113793904073539,0.4874393560835947,0.06815809790005364,0.06933508068323135,0.03190985607234888,0.02882586233317852,0.7373090349425265,0.782631487483703,,,,,
14,0.4013589731150769,0.4490119874613167,0.06780787471370522,0.06996048986911774,0.03127328324162827,0.02753129042685032,0.7208573948448125,0.7313209407167316,0.5362464194176371,1.0289365038849116,15.062223477903377,2.513988428317635,11.51892449687875
15,0.3945850686264544,0.4484214952557407,0.0674942278987116,0.06893990933895111,0.03104901134533879,0.026676272973418236,0.7118311941103047,0.7220782159238182,,,,,
16,0.38408930328395946,0.4907995815516005,0.06748856567709453,0.06957043707370758,0.02978942916305018,0.02698150835931301,0.6887439703324812,0.7675717088521014,0.5504978581826914,0.9973490513648315,18.155834803539097,3.5560609809072097,14.030527776278129
17,0.37516834956037093,0.4551239669020995,0.06752587345855068,0.0697583258152008,0.02988142988343332,0.02590325102210045,0.6807433807149315,0.721132309704624,,,,,
18,0.3639641920362471,0.47351287948757925,0.0672311853751476,0.06944280862808228,0.029014030645244847,0.025271495804190636,0.6608300542505874,0.7331721183922939,0.5413632338013405,1.0132699125609566,14.899342100024741,2.5049422956028513,11.43258607927234
19,0.35923675782116316,0.47278650740779765,0.06717484860983089,0.069475457072258,0.028894258455097528,0.025413798168301582,0.6548950347119719,0.7338720347980392,,,,,
20,0.3537735178630466,0.46505789648736745,0.06698449001622535,0.06912990659475327,0.02827153340365179,0.024635646492242813,0.6431924036636827,0.7183273520692709,0.5364280211857465,1.0001820462472246,15.40287229617394,2.5732356944726273,11.510580550973817
21,0.3464861210172828,0.46881759145951934,0.06693017524621896,0.06898920238018036,0.02796445182181867,0.02478630468249321,0.6328144811041871,0.7235795585224695,,,,,
22,0.34354712634637163,0.47978831031331515,0.06710506460429333,0.06913608312606812,0.027934537864436743,0.024889161810278893,0.6295936855834559,0.7355935367287109,0.5387927667880028,1.0086367087840191,14.962443916684,2.584074527626016,11.266648120155233
23,0.34174456808478926,0.4719802730065015,0.06692257585613402,0.06917238235473633,0.02746008598468413,0.024601511657238007,0.6230360654991938,0.7249126278143552,,,,,
24,0.33916607379462665,0.466848889055683,0.06693715468398956,0.06886593997478485,0.027589231188486354,0.024378374218940735,0.6217555856350376,0.7175192252425688,0.5422107026212575,1.0096756140465202,15.37257394058275,2.657976631643009,11.574195589511584
25,0.3394139370789911,0.46740185069209156,0.06708242585717908,0.06885038316249847,0.027703969218667777,0.02437908947467804,0.6231514592599037,0.7180777837551218,0.5424398425823168,1.0272700720051418,15.194305494791607,2.581868285586225,11.353191682961638
