epoch,train_loss,val_task_loss,train_kd_loss,val_total_loss,kd_rank_loss,val_kd_rank_loss,kd_dist_loss,val_kd_dist_loss,kd_rep_loss,val_kd_rep_loss,val_auprc,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio
11,0.40617961543576975,0.4455659285368258,0.21898017816667287,0.6412667093701396,0.06917953460285903,0.07144319266080856,0.033735676321906154,0.0296938456594944,0.24040722967712902,0.23965734243392944,0.9155422133621375,,,,,
12,0.3927168371039359,0.466387874442126,0.21431326261668834,0.6828588565378636,0.06903694604428,0.07285511493682861,0.03299891500395655,0.033309757709503174,0.2365929009241905,0.23806190490722656,0.9128147135323958,0.496765988484588,1.1498302010703174,15.042322855790953,2.616898673962615,10.929615444753882
13,0.38588971392210186,0.473120050191551,0.2090869960638712,0.658635466672461,0.06863341285614886,0.07014531642198563,0.03217526812780339,0.028041455894708633,0.23215137945549724,0.23326313495635986,0.9191213977217643,,,,,
14,0.3778011805701276,0.48494100098029597,0.20781771747289962,0.66841244416838,0.06875146151805081,0.07100183516740799,0.03200850571693836,0.027723824605345726,0.22821183259667588,0.2309766411781311,0.9180199770186287,0.5321807801074737,1.0156918796381744,14.589379208032993,2.639634425036189,10.892030524447138
15,0.38645979377670164,0.48147263837345894,0.21044260755462466,0.6665562218552451,0.0682979824624067,0.06955049186944962,0.03247982957013773,0.02801438234746456,0.2274739509477911,0.230485737323761,0.9196635564398323,,,,,
16,0.36628937298376996,0.4510000686290216,0.20079108608781165,0.6262393677626817,0.0682798710684634,0.07006779313087463,0.030885193027934472,0.0264422744512558,0.22280512542078967,0.22254610061645508,0.9197554868551228,0.5340673940488383,1.0296181724780966,14.632891648350833,2.6655843794270004,10.90983600501616
17,0.35762821504826703,0.5300725598952677,0.20032187537202295,0.7263416638563942,0.06839912283113696,0.07055932283401489,0.030844390110021557,0.02995613031089306,0.22043950436043547,0.2299242615699768,0.918265988436988,,,,,
18,0.3515542014251872,0.46743319501062347,0.19720334679169474,0.6426049270212342,0.06810454143652647,0.0704604908823967,0.03035020101953949,0.026469795033335686,0.2178297982430546,0.22013050317764282,0.9201197849947814,0.5323279457824407,1.0333972377428968,14.532233363251494,2.6746327987944327,10.636736068825234
19,0.33992022343575795,0.47165395820385436,0.19383145714143538,0.6463761817537462,0.06825614553220898,0.0705171450972557,0.02979893690572943,0.026391537860035896,0.21556565823804497,0.2201523780822754,0.9200593330674545,,,,,
20,0.3337555735145319,0.4688714440723268,0.192165880551878,0.6402759462915488,0.06828521391110706,0.07007332146167755,0.02953865237515581,0.025864796712994576,0.21404185475149629,0.2173810601234436,0.9208763119342751,0.5394784708526571,1.0397097050827333,14.397552287550228,2.763552999834763,10.587747941586173
21,0.3289563540295109,0.4721494321838557,0.19151684691040022,0.6433958198337034,0.06830866465530622,0.07028968632221222,0.02945364279582487,0.02584545873105526,0.21239273278390014,0.21686750650405884,0.9207828531868656,,,,,
22,0.3279627134133734,0.47961922937994095,0.19230695560855685,0.6514445184728797,0.06844673404075659,0.07024049013853073,0.029599052117825885,0.025942595675587654,0.211805133395764,0.21705520153045654,0.9209823542357729,0.5362277920965361,1.0610640707953778,14.808603935220154,2.912535822240928,10.612597787035623
23,0.3248623700374846,0.4673966234920959,0.18830977773891305,0.6375675461948749,0.06821733957410477,0.07026582211256027,0.02892325590197297,0.025685928761959076,0.21090376794692423,0.21527695655822754,0.9211695127468351,,,,,
24,0.3222169818082678,0.46773993086660354,0.18963041254934274,0.6376697818560529,0.06828570264365523,0.07021579891443253,0.029153869263689316,0.02564450353384018,0.21068871936102618,0.21526771783828735,0.9213213853249524,0.5344698402063853,1.0502649992701283,14.886869719646528,2.9273297905417266,10.705977479879236
25,0.3220189141317647,0.46641308966907385,0.18980106486464446,0.6360510357577747,0.06836799924538939,0.07018961757421494,0.029185754140836673,0.02559802681207657,0.21062012184462542,0.21502995491027832,0.921332477963244,0.5338731868475153,1.0166653487287327,14.922229767031693,2.8435813110612376,10.92885567160606
