epoch,train_loss,val_task_loss,train_kd_loss,val_total_loss,kd_rank_loss,val_kd_rank_loss,kd_dist_loss,val_kd_dist_loss,kd_rep_loss,val_kd_rep_loss,val_auprc,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio
1,0.7026739140770119,0.6412543755701341,0.5205500745829547,1.025162684005636,0.10740420615853301,0.09023577719926834,0.07728099412062059,0.054945699870586395,0.7569754846457286,0.6762177646160126,0.789860664940947,,,,,
2,0.6047810997785774,0.5280309992873132,0.3771954985722056,0.8510633505565449,0.08747946349976883,0.08449359238147736,0.05588357603128958,0.04773002862930298,0.5623233228637297,0.477700412273407,0.8524939101473579,0.41865057692906865,1.1080762163788533,16.181892679694887,3.412498358114531,13.239655337151795
3,0.5793200434715107,0.5120950665589434,0.3358414642653375,0.801735388517413,0.07922949540844654,0.0766640231013298,0.0505773527148414,0.04283823072910309,0.4457642605666957,0.4256570339202881,0.8754698678480595,,,,,
4,0.5310795051477148,0.49546698090827723,0.3031737933743675,0.7565394975028995,0.07625818144566915,0.0741637721657753,0.04577600047860152,0.03894460201263428,0.3964281874878971,0.36299002170562744,0.8897157609855008,0.49472970547247896,1.032116987706486,18.643422965089353,3.2277938937456163,15.117099496140554
5,0.4920972245665362,0.4687850882569317,0.27570962294373874,0.7133297655102787,0.07338850351157206,0.0745660811662674,0.0420695074613505,0.03685617074370384,0.3334643012838018,0.3165869116783142,0.8950702006529903,,,,,
6,0.4691939053811041,0.4918324215537206,0.2535659525332586,0.7225597496942033,0.07167735904185359,0.07142754644155502,0.03884911620862496,0.03494395315647125,0.29479418420750836,0.2883026599884033,0.9035662889953742,0.5125594683849651,1.0780309842352462,13.419747605867812,2.2303241608381534,11.481695963147496
7,0.4457555589755782,0.4715094937072938,0.24098548693758137,0.6864766419281948,0.07037661232006022,0.07070649415254593,0.03697650864272571,0.03252545744180679,0.27612474743138926,0.2699020504951477,0.9089035080126827,,,,,
8,0.43537914350946866,0.4411139823961257,0.23484934367380053,0.6514457655563874,0.06992214808092977,0.07207153737545013,0.03610576143536758,0.03191087394952774,0.26356568918958256,0.2584409713745117,0.9118965603425441,0.5203639678586656,1.0029685238064179,13.997534600221085,2.3179850605133203,11.14211737443833
9,0.4211651824509307,0.45189561676579065,0.22497624362695892,0.6624181144484922,0.06947364213729458,0.07282866537570953,0.034563948082722624,0.032053202390670776,0.25373522694911477,0.25175410509109497,0.9118844333901719,,,,,
10,0.4181824931709275,0.4593186722017773,0.22450405464700932,0.654219120736915,0.06912914954817259,0.07069513201713562,0.034602156510205,0.02947707660496235,0.2462799965586948,0.2444777488708496,0.9152673110723315,0.5371707450005424,1.0274577868376167,14.414079742883493,2.2455602555462493,11.38967114880944
