epoch,train_loss,train_kd_loss,val_task_loss,val_auprc,val_gs_bfs,val_rd_bfs,val_degree_mmd_ratio,val_clustering_mmd_ratio,val_spectral_mmd_ratio,learning_rate,grad_norm_task,grad_norm_kd
1,0.7045856970210013,0.7172249758018637,0.630471239767413,0.7695080219571124,0.316149801588854,1.0877294094840184,19.29402516901587,4.171916728435259,13.732064690431985,3.760410111236886e-05,19.446837425231934,10.326031923294067
2,0.6119745254348464,0.5387632680951424,0.5264175107870894,0.8480676887209749,0.37863618443136493,1.18445318012223,16.181792052801082,3.0738313693704478,12.973658988236126,9.136492063404586e-05,24.449787139892578,6.609630465507507
3,0.551679755284493,0.45056985880968703,0.5057905074217344,0.8842917955279043,0.47021310509568076,1.0240918781997435,17.330600203492253,3.812650600176223,14.657163755340942,9.986884143225903e-05,19.29417133331299,7.165782690048218
4,0.5089739010541788,0.4060275987634119,0.4540507966096211,0.8965172353689567,0.49323256464848275,1.019301487565216,16.021533032343847,2.8675059657478967,14.10435863085328,9.887982808754606e-05,17.433325052261353,7.15856671333313
5,0.48331967843942175,0.37369649252801573,0.4508792162361295,0.9010312254788703,0.5178649996614454,1.0560415994126766,14.941900147829422,2.636681189447279,13.174636991463059,9.693942838186186e-05,3.9381691813468933,7.633206009864807
6,0.4773305080047731,0.35024051705621323,0.4362193490632409,0.9081493665599163,0.5185043301023743,1.0735787678158384,14.96359142334528,2.8422432065157417,12.548703837788855,9.408540998830565e-05,5.067293107509613,6.812575697898865
7,0.4484843966021626,0.3266755221587307,0.4309568855790047,0.9101732152932607,0.5259464206416818,1.020326012066428,20.343957288962155,4.062366818260149,14.887088936838916,9.037332312851018e-05,4.887504369020462,6.066990256309509
8,0.43225448490272395,0.3007934917959402,0.43031446556943675,0.9106776316406788,0.5071434042776952,1.119971221045233,14.6153218802285,2.42838551164365,10.570469613175181,8.587541935076515e-05,2.2851396203041077,5.488791286945343
9,0.4167703001018166,0.28410097331089795,0.43973065030523234,0.9136701070120132,0.535498145528672,1.0108579495364969,17.28609355376485,3.069589778856922,12.894954016784203,8.067924523581465e-05,2.7880859971046448,4.956864416599274
10,0.432605183465089,0.28518700831622446,0.48081231476447484,0.9174718575361842,0.5412393619897196,1.0017280903739598,16.972338344390717,3.286935800851585,13.259423635334086,7.488593840224576e-05,4.197436511516571,6.433732390403748
11,0.4153302451134191,0.26888327834741127,0.43163150691173013,0.9172636534215943,0.5355758512435839,1.004990236846128,15.552955918029292,2.797437944746702,12.063155920910829,6.860825897778502e-05,15.959327936172485,7.70310366153717
12,0.4111093751333852,0.26086654204804943,0.4343319042118493,0.9152041049040245,0.5443080470373839,1.0172807854413761,18.031068148539543,3.2945491271940766,12.98430156568905,6.196839485167507e-05,5.193411409854889,7.931096851825714
13,0.3836284331907942,0.2492189771443043,0.4242109776487704,0.917919261368556,0.5221876860794026,1.0604043072136191,14.29830756695284,2.6099797514408714,10.374113458071017,5.5095583426397126e-05,7.536510705947876,9.349336564540863
14,0.37392316537987014,0.23367653773078378,0.4259133619991495,0.9207210258883383,0.5273997338384371,1.0265375270026034,14.582298400778967,2.657808478357176,10.766928334313688,4.8123596158637104e-05,8.0159353017807,8.751981973648071
15,0.36205162461980145,0.22801244490832653,0.4310618134747979,0.9190308004384604,0.5149854239741068,1.0968051411166648,14.921347256322354,2.5844872851309546,10.332133316511914,4.1188134850043986e-05,5.327814161777496,10.209200978279114
16,0.3565634556860438,0.2220219294979887,0.44055659769374445,0.9194719115747727,0.5303309466135759,1.0299846036123346,14.867458061088566,2.5015549930790546,10.800961022909041,3.442419036601921e-05,6.626054525375366,8.684672117233276
17,0.34879489691023213,0.2140187827764817,0.45188000306088744,0.9208283321997547,0.5288012910496063,1.067763510222379,13.64490225872669,2.6235080671891233,9.886633986532763,2.796341519207152e-05,5.650236189365387,10.847329318523407
18,0.3385037086107637,0.20618765491921948,0.4370450004857403,0.9201086402847378,0.5052969699218043,1.0225663942900034,13.811522551139529,2.9267177328771816,10.222481082852681,2.1931560967938948e-05,20.29114603996277,9.695915818214417
19,0.3318908496359149,0.20565256624008124,0.4316890606500433,0.9206383006242471,0.5180245293862579,1.0799344317922832,14.156120160168625,2.71052623683567,10.035266637161298,1.6446030874961792e-05,6.11603319644928,7.515677213668823
20,0.3256772449276481,0.19713818260802413,0.4354825663457647,0.9202880394966257,0.5223253473420029,1.0700808094411798,15.070689386213658,2.5367968039901663,10.573069652913784,1.1613594516701804e-05,6.726036638021469,8.145735442638397
21,0.3210901908569425,0.19042370468378067,0.44133093671121393,0.9198118967137306,0.5209377786341169,1.0843031502221352,14.211761427083632,2.547481889415529,10.13656233649446,7.528309770057675e-06,3.9821011424064636,9.946107506752014
22,0.3172369926519117,0.18941046023425065,0.4441457001087375,0.9204833504038088,0.5263330747912589,1.0489615371155323,13.95422524911385,2.4981700844420796,10.086991188351842,4.269692055680278e-06,4.215499758720398,9.583400964736938
23,0.31510003285661303,0.18495343780180193,0.44164416996537315,0.9202522944911927,0.5245968235153281,1.0597224734984296,14.122290211460374,2.5032106064363298,10.20035054967323,1.9011666607572547e-06,6.271832466125488,9.405758619308472
24,0.3141157642494748,0.18726820948551287,0.4370919369883389,0.9205342960871374,0.5216722674588063,1.053195764373334,13.94812907260628,2.545117276407604,10.093108887149132,4.6883423794309566e-07,7.552849590778351,8.232521891593933
25,0.31312172230960245,0.1873963527240843,0.4373198639048787,0.9204903159513588,0.5207121697254196,1.045153702447398,14.041216646010358,2.5321903426374375,10.141814849459418,5.735085938835517e-10,7.5542391538619995,8.010323286056519
